,T. gondii GT1,T. gondii ME49,P. falciparum 3D7,P. berghei ANKA,P. vivax Sal1,C. hominis TU502 (2012),C. parvum Iowa II,E. histolytica HM1IMSS-A,L. major SD75,T. cruzi CL Brener,T. brucei Lister 427,V. brassicaformis CCMP3155,B. bovis T2Bo,N. fowleri ATCC30863
OHPHM,,,nonlethal,nonlethal,not in model,,,,,,,,,
C226CPT2,,,not in model,not in model,not in model,,,,,,,,,
G3PCt,,,nonlethal,not in model,not in model,,,,,,,,,
3HAD60_ap,,,not in model,nonlethal,nonlethal,,,,,,,,,
MMSAD3,,,not in model,not in model,not in model,,,,,,,,,
ACt2r,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
G3PAT181_1,,,not in model,not in model,not in model,,,,,,,,,
DGDGS1819Z160c,,,not in model,not in model,not in model,,,,,,,,,
ARGORNt7,,,not in model,not in model,not in model,,,,,,,,,
PLDAGAT16018111Z1819Z2,,,not in model,not in model,not in model,,,,,,,,,
NO2t2r,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
RTOTALt,,,not in model,not in model,not in model,,,,,,,,,
PE1801845Z9Z12Z15Zt,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
FAS140,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
PTRCabc,,,nonlethal,not in model,nonlethal,,,,,,,,,
NH4tm,,,not in model,not in model,not in model,,,,,,,,,
PI45BPP,,,not in model,nonlethal,nonlethal,,,,,,,,,
ZDSc,,,not in model,not in model,not in model,,,,,,,,,
EGMEACPR,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
PGMmc,,,nonlethal,not in model,not in model,,,,,,,,,
3OACOAR,,,not in model,not in model,not in model,,,,,,,,,
VOR3b,,,nonlethal,not in model,not in model,,,,,,,,,
PLDAGAT18111Z1819Z1819Z1,,,not in model,not in model,not in model,,,,,,,,,
ASR,,,not in model,not in model,not in model,,,,,,,,,
ALCDH_nadp_hic,,,not in model,not in model,not in model,,,,,,,,,
CITCIb,,,not in model,not in model,not in model,,,,,,,,,
IAGT,,,not in model,not in model,not in model,,,,,,,,,
ACONT,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
PHEPHEASNr,,,not in model,not in model,not in model,,,,,,,,,
GLU4ABUTtmi,,,not in model,not in model,not in model,,,,,,,,,
ALLTAHr,,,not in model,nonlethal,nonlethal,,,,,,,,,
GM1LIPAabcppc,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
GHBDHx,,,not in model,not in model,not in model,,,,,,,,,
OMBZLMm,,,not in model,nonlethal,nonlethal,,,,,,,,,
AGPAT161_ap,,,not in model,nonlethal,nonlethal,,,,,,,,,
PCD6DS_STC_GLNA_sn2_c,,,nonlethal,not in model,not in model,,,,,,,,,
